Date,Open,High,Low,Close,Volume
2021-08-18,1311.3601,1317.8336,1298.6441,1306.2737,2939739
2021-08-20,1267.571,1313.2097,1267.571,1293.9739,4051399
2021-08-23,1309.0017,1334.4336,1303.0368,1309.5104,3987240
2021-08-24,1314.9668,1356.6751,1313.2097,1353.2996,5366923
2021-08-25,1352.9758,1366.8477,1340.9534,1353.0682,3105863
2021-08-26,1350.0167,1356.4439,1335.4048,1340.4912,1993944
2021-08-27,1340.8149,1347.5196,1323.5674,1336.6996,3097939
2021-08-30,1340.9536,1345.5776,1309.4181,1312.4698,2742699
2021-08-31,1317.6487,1344.6527,1301.141,1338.7803,6392991
2021-09-01,1340.9535,1357.831,1320.1456,1328.2838,1829925
2021-09-02,1328.0063,1343.3118,1314.3193,1329.671,3860958
2021-09-03,1335.4048,1340.6761,1317.9261,1333.5089,1919590
2021-09-06,1339.1039,1357.5074,1328.0988,1351.265,1801171
2021-09-07,1358.4785,1362.1315,1324.5848,1327.2666,1940043
2021-09-08,1331.8904,1333.8788,1313.0709,1320.4692,2256454
2021-09-09,1318.3885,1329.7636,1307.6609,1325.4633,2303457
2021-09-13,1328.0063,1331.5206,1313.5332,1321.9951,1937241
2021-09-14,1327.0816,1347.4271,1321.9952,1342.8494,1554999
2021-09-15,1333.6478,1368.6976,1329.8099,1354.6869,2410087
2021-09-16,1354.6867,1358.5247,1331.7056,1339.4276,1800078
2021-09-17,1341.8783,1361.299,1328.5612,1342.387,2861623
2021-09-20,1331.7055,1380.8584,1319.082,1323.6598,2526342
2021-09-21,1330.7809,1356.1665,1313.5797,1351.7737,1713705
2021-09-22,1353.9007,1412.9951,1346.9647,1399.7705,5145820
2021-09-23,1410.4055,1415.8619,1390.8924,1407.0763,2015302
2021-09-24,1414.9371,1431.4447,1397.4123,1400.834,3592146
2021-09-27,1408.4636,1410.3132,1349.4616,1354.2706,2728552
2021-09-28,1354.2706,1354.8254,1302.482,1307.7072,3995669
2021-09-29,1294.7139,1302.9908,1269.5132,1290.4136,7948104
2021-09-30,1283.6162,1297.1645,1273.4435,1276.7727,3856630
2021-10-01,1271.594,1279.9171,1262.1611,1268.126,2661824
2021-10-04,1280.5644,1299.8465,1268.8658,1293.8353,2538936
2021-10-05,1293.8814,1314.1344,1277.1426,1306.7823,2481825
2021-10-06,1315.8916,1319.5908,1276.1716,1281.443,2769341
2021-10-07,1292.8178,1316.2615,1272.1949,1310.6201,1956325
2021-10-08,1311.8226,1338.1793,1311.8226,1331.6594,2665924
2021-10-11,1313.2098,1326.5731,1281.3968,1294.8988,3073366
2021-10-12,1293.7889,1297.3493,1258.6466,1271.0851,2965629
2021-10-13,1282.5989,1303.9616,1273.4434,1296.702,1738985
2021-10-14,1324.3072,1349.8316,1304.4241,1323.1975,4328124
2021-10-18,1313.2097,1375.1247,1313.2097,1368.3738,3579606
2021-10-19,1385.3437,1451.7441,1365.9693,1423.3528,8645334
2021-10-20,1427.8842,1457.9401,1401.805,1423.5377,5159270
2021-10-21,1429.8726,1429.8726,1365.0444,1409.6195,4261416
2021-10-22,1415.862,1444.4843,1372.1654,1403.3309,5223521
2021-10-25,1415.8619,1419.5611,1372.2116,1409.4808,3890467
2021-10-26,1453.6863,1507.4169,1426.9596,1445.733,16978043
2021-10-27,1444.392,1467.7431,1412.6253,1449.9408,3624131
2021-10-28,1459.3273,1463.8126,1411.238,1417.989,3054565
2021-10-29,1412.4865,1426.7284,1357.415,1366.7091,3795495
2021-11-01,1377.9453,1414.8447,1375.2172,1407.6775,2271900
2021-11-02,1421.7808,1422.4346,1389.8381,1392.2197,2041689
2021-11-03,1399.1315,1436.2113,1395.0219,1399.6453,2697346
2021-11-04,1409.4054,1415.0094,1401.9334,1406.4633,166444
2021-11-08,1408.4714,1459.6546,1405.0156,1453.4901,3050392
2021-11-09,1457.9735,1468.2475,1450.5015,1456.2922,2061369
2021-11-10,1453.2567,1469.5084,1444.4772,1463.2039,1299996
2021-11-11,1457.0393,1457.0393,1415.0094,1421.5006,3027565
2021-11-12,1436.9584,1484.5457,1430.2337,1480.3894,3713868
2021-11-15,1480.3894,1495.8004,1469.5083,1474.9255,2448280
2021-11-16,1480.4828,1499.0694,1471.9834,1494.306,2864344
2021-11-17,1492.9985,1517.7495,1489.7295,1511.6317,2304359
2021-11-18,1513.2662,1517.5159,1456.5725,1464.278,2938804
2021-11-22,1477.4007,1477.4007,1419.6795,1439.5737,1951782
2021-11-23,1421.5475,1461.1957,1406.8837,1457.5532,1823592
2021-11-24,1465.2587,1466.2861,1429.0195,1436.5848,1644163
2021-11-25,1429.9534,1461.5226,1429.0661,1456.4323,1557493
2021-11-26,1442.0953,1447.6993,1410.4795,1426.5909,1522173
2021-11-29,1415.0095,1443.4965,1381.7591,1435.2306,1995524
2021-11-30,1428.0855,1489.2157,1425.7505,1439.7137,5662900
2021-12-01,1447.6994,1489.169,1447.6994,1482.8177,2761193
2021-12-02,1485.0595,1524.7545,1475.7195,1522.0927,2664202
2021-12-03,1517.7493,1530.1248,1484.7791,1488.1416,2400296
2021-12-06,1500.0033,1512.6591,1444.7572,1449.3339,2911781
2021-12-07,1460.7755,1476.9803,1434.6235,1472.5906,1758254
2021-12-08,1478.1945,1508.2226,1477.6341,1498.8826,1604565
2021-12-09,1487.8614,1513.0793,1480.3894,1504.8601,1947954
2021-12-10,1504.6734,1504.8601,1474.3651,1496.8745,1776362
2021-12-13,1499.0694,1546.2364,1492.0176,1530.0315,3163063
2021-12-14,1531.7595,1555.1095,1518.3566,1534.2812,2725454
2021-12-15,1530.8253,1537.6435,1509.2499,1533.2537,1622068
2021-12-16,1540.1655,1557.5846,1533.8142,1543.5746,2225836
2021-12-17,1559.0321,1564.4494,1519.524,1534.4213,3405084
2021-12-20,1527.0895,1530.2184,1472.5439,1492.5782,2233189
2021-12-21,1499.5364,1546.0497,1499.5364,1525.1747,2237445
2021-12-22,1536.4296,1552.0273,1524.0541,1550.2061,1656110
2021-12-23,1559.7795,1579.4868,1554.3156,1572.6687,1715034
2021-12-24,1572.2482,1620.6761,1569.4462,1610.0286,3343946
2021-12-27,1610.6824,1673.7273,1591.2085,1667.1893,4512000
2021-12-28,1667.1894,1702.6813,1658.8767,1686.8967,3605483
2021-12-29,1681.6665,1700.8135,1665.088,1668.9174,1902921
2021-12-30,1669.0575,1716.6914,1668.1235,1681.1527,4650594
2021-12-31,1681.3862,1693.3414,1665.7417,1672.3732,2378048
2022-01-03,1676.5761,1698.0113,1665.3213,1667.0026,1779147
2022-01-04,1674.6614,1684.7486,1650.3774,1671.6726,2701533
2022-01-05,1662.4726,1665.2746,1618.6213,1622.8711,3138050
2022-01-06,1611.1494,1614.7453,1578.4594,1580.4208,4290750
2022-01-07,1589.6674,1610.7291,1583.2228,1591.3953,2103362
2022-01-10,1605.5454,1611.1494,1576.1244,1602.7434,2330348
2022-01-11,1592.4693,1629.8293,1592.4693,1622.4974,2704832
2022-01-12,1638.2354,1639.1694,1607.4134,1616.2396,3013194
2022-01-13,1615.8194,1633.472,1589.4806,1605.3586,2768371
2022-01-14,1601.3424,1631.5106,1584.5304,1623.0579,1889385
2022-01-17,1618.5745,1635.4332,1606.4792,1608.7208,2522806
2022-01-18,1625.1594,1631.2771,1541.1461,1551.1399,4878369
2022-01-19,1553.3347,1565.9437,1520.1311,1559.8727,2610709
2022-01-20,1559.8728,1562.7682,1535.0752,1556.884,2440011
2022-01-21,1541.0994,1543.9014,1483.9853,1488.3751,4079190
2022-01-24,1483.1913,1483.1913,1402.8206,1413.2815,3250275
2022-01-25,1400.0654,1426.8245,1368.3095,1401.5598,3910618
2022-01-27,1386.5224,1386.5224,1335.6194,1350.1898,4434890
2022-01-28,1350.5635,1385.0281,1313.437,1317.5466,7080683
2022-01-31,1342.1575,1389.4179,1337.0205,1381.3855,4406035
2022-02-01,1404.7354,1414.9626,1377.6494,1406.3699,2542754
2022-02-02,1382.2261,1391.6595,1347.7615,1385.0747,9031146
2022-02-03,1381.2922,1382.1328,1353.4589,1358.3158,2433692
2022-02-04,1367.3755,1368.2628,1340.2895,1352.6183,2406272
2022-02-07,1354.2995,1369.01,1339.3555,1348.9757,2741520
2022-02-08,1351.0304,1360.0435,1326.4661,1339.5421,1981111
2022-02-09,1345.0061,1373.8666,1345.0061,1358.7826,2282701
2022-02-10,1368.3095,1374.8475,1354.5797,1371.5785,1850405
2022-02-11,1354.1592,1354.2526,1327.2133,1330.856,2426039
2022-02-14,1298.2595,1325.1588,1280.5135,1298.3997,2149302
2022-02-15,1311.3822,1347.3878,1302.9762,1344.6326,1955525
2022-02-16,1354.7664,1367.3287,1334.5453,1348.6954,2164650
2022-02-17,1364.9937,1364.9937,1345.193,1352.0112,1669669
2022-02-18,1343.5118,1349.6295,1323.5709,1343.0448,2374188
2022-02-21,1332.9576,1344.9595,1317.0329,1324.5983,2109461
2022-02-22,1289.3866,1326.9333,1284.2496,1319.3213,2111878
2022-02-23,1328.1475,1330.9027,1316.1922,1320.0217,1319711
2022-02-24,1280.0466,1307.5996,1242.2196,1245.0216,4108603
2022-02-25,1265.5695,1307.5995,1260.9929,1297.9792,1885454
2022-02-28,1288.9196,1326.1394,1273.2751,1316.9396,4983140
2022-03-02,1307.5995,1326.9333,1291.488,1302.3224,2160190
2022-03-03,1316.7527,1348.3218,1312.4096,1332.4906,2730530
2022-03-04,1321.6095,1363.6395,1306.1985,1357.6619,3567738
2022-03-07,1333.7515,1367.3755,1317.9203,1330.1089,3341715
2022-03-08,1326.2795,1370.0841,1326.2795,1365.4607,2365949
2022-03-09,1365.4607,1411.2734,1365.4607,1405.4359,3667977
2022-03-10,1424.3495,1425.2368,1377.1825,1387.3164,2835942
2022-03-11,1378.5835,1393.3874,1375.3145,1388.6708,1116432
2022-03-14,1388.8575,1409.3121,1388.8575,1403.8015,1372791
2022-03-15,1414.0754,1415.0094,1352.4314,1362.3318,2188506
2022-03-16,1377.8363,1395.8625,1371.4852,1391.5662,1453944
2022-03-17,1405.6695,1410.2927,1388.8575,1394.9285,2346185
2022-03-21,1396.3294,1419.6794,1378.7702,1382.1327,2110200
2022-03-22,1388.7642,1442.0488,1377.6964,1436.6783,3030660
2022-03-23,1447.6996,1458.6273,1428.2723,1440.3677,3741783
2022-03-24,1429.1595,1468.2007,1429.1595,1465.0251,2085571
2022-03-25,1467.3134,1471.0027,1421.9211,1429.5332,1755511
2022-03-28,1432.7554,1437.3787,1416.4572,1423.8357,1928306
2022-03-29,1435.5574,1437.9391,1418.8388,1421.8743,2311150
2022-03-30,1433.0357,1433.0357,1386.9895,1397.5437,3792481
2022-03-31,1397.5436,1409.9657,1389.0441,1400.4856,2036984
2022-04-01,1400.0654,1403.4745,1378.0697,1388.9508,2537230
2022-04-04,1388.9508,1405.0156,1385.7285,1399.7385,1675276
2022-04-05,1408.4715,1422.0145,1382.3195,1390.7722,3207223
2022-04-06,1384.1875,1384.1875,1358.0355,1363.0323,2627895
2022-04-07,1358.0354,1377.3225,1354.9531,1371.6251,3336784
